"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1","Malaysia","Non-sentinel","2019-44",2019-10-28,27,1,26,NA,NA,1,NA,NA,NA
"2","Malaysia","Non-sentinel","2020-01",2019-12-30,45,5,40,NA,NA,5,NA,NA,NA
"3","Malaysia","Non-sentinel","2020-02",2020-01-06,55,13,42,NA,NA,11,NA,NA,2
"4","Malaysia","Non-sentinel","2020-03",2020-01-13,56,13,43,NA,NA,12,NA,NA,1
"5","Malaysia","Non-sentinel","2020-04",2020-01-20,66,9,57,NA,NA,9,NA,NA,NA
"6","Malaysia","Non-sentinel","2020-05",2020-01-27,62,3,59,NA,NA,3,NA,NA,NA
"7","Malaysia","Non-sentinel","2020-06",2020-02-03,37,2,35,NA,NA,2,NA,NA,NA
"8","Malaysia","Non-sentinel","2020-07",2020-02-10,40,1,39,NA,NA,1,NA,NA,NA
"9","Malaysia","Non-sentinel","2020-09",2020-02-24,49,3,46,NA,NA,3,NA,NA,NA
"10","Malaysia","Non-sentinel","2020-10",2020-03-02,43,3,40,NA,NA,3,NA,NA,NA
"11","Malaysia","Non-sentinel","2020-12",2020-03-16,39,1,38,NA,NA,1,NA,NA,NA
"12","Malaysia","Non-sentinel","2020-14",2020-03-30,22,1,21,NA,NA,1,NA,NA,NA
"13","Malaysia","Non-sentinel","2022-01",2022-01-03,29,1,28,0,0,1,NA,NA,0
"14","Malaysia","Non-sentinel","2022-02",2022-01-10,37,0,37,0,0,0,NA,NA,0
"15","Malaysia","Non-sentinel","2022-03",2022-01-17,44,0,44,0,0,0,NA,NA,0
"16","Malaysia","Non-sentinel","2022-04",2022-01-24,55,0,55,0,0,0,NA,NA,0
"17","Malaysia","Non-sentinel","2022-05",2022-01-31,49,0,49,0,0,0,NA,NA,0
"18","Malaysia","Non-sentinel","2022-06",2022-02-07,38,1,37,0,0,1,NA,NA,0
"19","Malaysia","Non-sentinel","2022-07",2022-02-14,41,0,41,0,0,0,NA,NA,0
"20","Malaysia","Non-sentinel","2022-08",2022-02-21,43,0,43,0,0,0,NA,NA,0
"21","Malaysia","Non-sentinel","2022-09",2022-02-28,31,0,31,0,0,0,NA,NA,0
"22","Malaysia","Non-sentinel","2022-10",2022-03-07,22,0,22,0,0,0,NA,NA,0
"23","Malaysia","Non-sentinel","2022-11",2022-03-14,36,0,36,0,0,0,NA,NA,0
"24","Malaysia","Non-sentinel","2022-12",2022-03-21,33,0,33,0,0,0,NA,NA,0
"25","Malaysia","Non-sentinel","2022-13",2022-03-28,25,0,25,0,0,0,NA,NA,0
"26","Malaysia","Non-sentinel","2022-14",2022-04-04,27,0,27,0,0,0,NA,NA,0
"27","Malaysia","Non-sentinel","2022-15",2022-04-11,29,0,29,0,0,0,NA,NA,0
"28","Malaysia","Non-sentinel","2022-16",2022-04-18,27,0,27,0,0,0,NA,NA,0
"29","Malaysia","Non-sentinel","2022-17",2022-04-25,44,0,44,0,0,0,NA,NA,0
"30","Malaysia","Non-sentinel","2022-18",2022-05-02,26,0,26,0,0,0,NA,NA,0
"31","Malaysia","Non-sentinel","2022-19",2022-05-09,37,0,37,0,0,0,NA,NA,0
"32","Malaysia","Non-sentinel","2022-20",2022-05-16,56,0,56,0,0,0,NA,NA,0
"33","Malaysia","Non-sentinel","2022-21",2022-05-23,49,0,49,0,0,0,NA,NA,0
"34","Malaysia","Non-sentinel","2022-22",2022-05-30,46,1,45,0,0,1,NA,NA,0
"35","Malaysia","Non-sentinel","2022-23",2022-06-06,51,0,51,0,0,0,NA,NA,0
"36","Malaysia","Non-sentinel","2022-24",2022-06-13,66,0,66,0,0,0,NA,NA,0
"37","Malaysia","Non-sentinel","2022-25",2022-06-20,66,1,65,0,0,1,NA,NA,0
"38","Malaysia","Non-sentinel","2022-26",2022-06-27,78,1,77,0,0,1,NA,NA,0
"39","Malaysia","Non-sentinel","2022-27",2022-07-04,90,2,88,0,0,2,NA,NA,0
"40","Malaysia","Non-sentinel","2022-28",2022-07-11,74,3,71,0,0,3,NA,NA,0
"41","Malaysia","Non-sentinel","2022-29",2022-07-18,110,16,94,0,0,16,NA,NA,0
"42","Malaysia","Non-sentinel","2022-30",2022-07-25,89,9,80,0,0,9,NA,NA,0
"43","Malaysia","Non-sentinel","2022-31",2022-08-01,81,4,77,0,0,4,NA,NA,0
"44","Malaysia","Non-sentinel","2022-32",2022-08-08,71,4,67,0,0,4,NA,NA,0
"45","Malaysia","Non-sentinel","2022-33",2022-08-15,108,5,103,0,0,4,NA,NA,1
"46","Malaysia","Non-sentinel","2022-34",2022-08-22,79,1,78,0,0,1,NA,NA,0
"47","Malaysia","Non-sentinel","2022-35",2022-08-29,82,2,80,0,0,2,NA,NA,0
"48","Malaysia","Non-sentinel","2022-36",2022-09-05,88,2,86,0,0,2,NA,NA,0
"49","Malaysia","Non-sentinel","2022-37",2022-09-12,92,0,92,0,0,0,NA,NA,0
"50","Malaysia","Non-sentinel","2022-38",2022-09-19,73,1,72,0,0,1,NA,NA,0
"51","Malaysia","Non-sentinel","2022-39",2022-09-26,87,1,86,0,0,1,NA,NA,0
"52","Malaysia","Non-sentinel","2022-40",2022-10-03,70,0,70,0,0,0,NA,NA,0
"53","Malaysia","Non-sentinel","2022-41",2022-10-10,75,1,74,0,0,1,NA,NA,0
"54","Malaysia","Non-sentinel","2022-42",2022-10-17,74,1,73,0,0,0,NA,NA,1
"55","Malaysia","Non-sentinel","2022-43",2022-10-24,71,1,70,0,0,1,NA,NA,0
"56","Malaysia","Non-sentinel","2022-44",2022-10-31,69,0,69,0,0,0,NA,NA,0
"57","Malaysia","Non-sentinel","2022-45",2022-11-07,93,1,92,0,0,1,NA,NA,0
"58","Malaysia","Non-sentinel","2022-46",2022-11-14,92,0,92,0,0,0,NA,NA,0
"59","Malaysia","Non-sentinel","2022-47",2022-11-21,98,0,98,0,0,0,NA,NA,0
"60","Malaysia","Non-sentinel","2022-48",2022-11-28,77,0,77,0,0,0,NA,NA,0
"61","Malaysia","Non-sentinel","2022-49",2022-12-05,79,0,79,0,0,0,NA,NA,0
"62","Malaysia","Non-sentinel","2022-50",2022-12-12,82,2,80,0,0,0,NA,NA,2
"63","Malaysia","Non-sentinel","2022-51",2022-12-19,94,4,90,0,0,1,NA,NA,3
"64","Malaysia","Non-sentinel","2022-52",2022-12-26,96,2,94,0,0,1,NA,NA,1
"65","Malaysia","Non-sentinel","2023-01",2023-01-02,87,4,83,0,0,0,NA,NA,4
"66","Malaysia","Non-sentinel","2023-02",2023-01-09,103,2,101,0,0,1,NA,NA,1
"67","Malaysia","Non-sentinel","2023-03",2023-01-16,82,1,81,0,0,1,NA,NA,0
"68","Malaysia","Non-sentinel","2023-04",2023-01-23,112,1,111,0,0,1,NA,NA,0
"69","Malaysia","Non-sentinel","2023-05",2023-01-30,126,0,126,0,0,0,NA,NA,0
"70","Malaysia","Non-sentinel","2023-06",2023-02-06,108,2,106,0,0,1,NA,NA,1
"71","Malaysia","Non-sentinel","2023-07",2023-02-13,119,1,118,0,0,1,NA,NA,0
"72","Malaysia","Non-sentinel","2023-08",2023-02-20,99,3,96,0,0,3,NA,NA,0
"73","Malaysia","Non-sentinel","2023-09",2023-02-27,80,6,74,0,0,3,NA,NA,3
"74","Malaysia","Non-sentinel","2023-10",2023-03-06,73,2,71,0,0,2,NA,NA,0
"75","Malaysia","Non-sentinel","2023-11",2023-03-13,83,1,82,0,0,0,NA,NA,1
"76","Malaysia","Non-sentinel","2023-12",2023-03-20,62,2,60,0,0,1,NA,NA,1
"77","Malaysia","Non-sentinel","2023-13",2023-03-27,75,3,72,0,0,3,NA,NA,0
"78","Malaysia","Non-sentinel","2023-14",2023-04-03,56,4,52,0,0,4,NA,NA,0
"79","Malaysia","Non-sentinel","2023-15",2023-04-10,63,0,63,0,0,0,NA,NA,0
"80","Malaysia","Non-sentinel","2023-16",2023-04-17,57,4,53,0,0,4,NA,NA,0
"81","Malaysia","Non-sentinel","2023-17",2023-04-24,57,2,55,0,0,2,NA,NA,0
"82","Malaysia","Non-sentinel","2023-18",2023-05-01,61,3,58,0,0,3,NA,NA,0
"83","Malaysia","Non-sentinel","2023-19",2023-05-08,76,2,74,2,0,0,NA,NA,0
"84","Malaysia","Non-sentinel","2023-20",2023-05-15,166,7,159,5,2,0,NA,NA,0
"85","Malaysia","Non-sentinel","2023-21",2023-05-22,128,9,119,2,3,4,NA,NA,0
"86","Malaysia","Non-sentinel","2023-22",2023-05-29,132,4,128,2,2,0,NA,NA,0
"87","Malaysia","Non-sentinel","2023-23",2023-06-05,177,15,162,6,8,1,NA,NA,0
"88","Malaysia","Non-sentinel","2023-24",2023-06-12,175,8,167,3,5,0,NA,NA,0
"89","Malaysia","Non-sentinel","2023-25",2023-06-19,168,11,157,3,8,0,NA,NA,0
"90","Malaysia","Non-sentinel","2023-26",2023-06-26,146,12,134,8,4,0,NA,NA,0
"91","Malaysia","Non-sentinel","2023-27",2023-07-03,143,10,133,5,5,0,NA,NA,0
"92","Malaysia","Non-sentinel","2023-28",2023-07-10,181,13,168,5,8,0,NA,NA,0
"93","Malaysia","Non-sentinel","2023-29",2023-07-17,184,17,167,6,11,0,NA,NA,0
"94","Malaysia","Non-sentinel","2023-30",2023-07-24,275,35,240,20,14,1,NA,NA,0
"95","Malaysia","Non-sentinel","2023-31",2023-07-31,271,31,240,19,12,0,NA,NA,0
"96","Malaysia","Non-sentinel","2023-32",2023-08-07,195,17,178,10,7,0,NA,NA,0
"97","Malaysia","Non-sentinel","2023-33",2023-08-14,274,33,241,23,10,0,NA,NA,0
"98","Malaysia","Non-sentinel","2023-34",2023-08-21,233,19,214,10,9,0,NA,NA,0
"99","Malaysia","Non-sentinel","2023-35",2023-08-28,254,16,238,7,9,0,NA,NA,0
"100","Malaysia","Non-sentinel","2023-36",2023-09-04,268,22,246,12,9,1,NA,NA,0
"101","Malaysia","Non-sentinel","2023-37",2023-09-11,96,12,84,6,6,0,NA,NA,0
"102","Malaysia","Non-sentinel","2023-38",2023-09-18,137,28,109,19,7,1,NA,NA,1
"103","Malaysia","Non-sentinel","2023-39",2023-09-25,126,20,106,9,11,0,NA,NA,0
"104","Malaysia","Non-sentinel","2023-40",2023-10-02,148,19,129,10,8,0,NA,NA,1
"105","Malaysia","Non-sentinel","2023-41",2023-10-09,139,20,119,7,13,0,NA,NA,0
"106","Malaysia","Non-sentinel","2023-42",2023-10-16,113,14,99,7,5,1,NA,NA,1
"107","Malaysia","Non-sentinel","2023-43",2023-10-23,127,9,118,6,2,0,NA,NA,1
"108","Malaysia","Non-sentinel","2023-44",2023-10-30,141,13,128,3,10,0,NA,NA,0
"109","Malaysia","Non-sentinel","2023-45",2023-11-06,134,13,121,3,7,1,NA,NA,2
"110","Malaysia","Non-sentinel","2023-46",2023-11-13,135,16,119,4,10,0,NA,NA,2
"111","Malaysia","Non-sentinel","2023-47",2023-11-20,41,5,36,1,2,0,NA,NA,2
"112","Malaysia","Non-sentinel","2023-48",2023-11-27,16,3,13,0,3,0,NA,NA,0
"113","Malaysia","Non-sentinel","2023-49",2023-12-04,35,8,27,4,4,0,NA,NA,0
"114","Malaysia","Non-sentinel","2023-50",2023-12-11,49,9,40,3,5,1,NA,NA,0
"115","Malaysia","Non-sentinel","2023-51",2023-12-18,43,6,37,1,4,0,NA,NA,1
"116","Malaysia","Non-sentinel","2023-52",2023-12-25,36,7,29,2,5,0,NA,NA,0
"117","Malaysia","Non-sentinel","2024-01",2024-01-01,58,6,52,1,5,0,NA,NA,0
"118","Malaysia","Non-sentinel","2024-02",2024-01-08,40,1,39,0,1,0,NA,NA,0
"119","Malaysia","Non-sentinel","2024-03",2024-01-15,45,9,36,1,7,0,NA,NA,1
"120","Malaysia","Non-sentinel","2024-04",2024-01-22,46,2,44,2,0,0,NA,NA,0
"121","Malaysia","Non-sentinel","2024-05",2024-01-29,60,9,51,2,4,0,NA,NA,3
"122","Malaysia","Non-sentinel","2024-06",2024-02-05,58,3,55,1,2,0,NA,NA,0
"123","Malaysia","Non-sentinel","2024-07",2024-02-12,21,0,21,0,0,0,NA,NA,0
"124","Malaysia","Non-sentinel","2024-08",2024-02-19,67,4,63,1,2,1,NA,NA,0
"125","Malaysia","Non-sentinel","2024-09",2024-02-26,72,10,62,1,8,0,NA,NA,1
"126","Malaysia","Non-sentinel","2024-10",2024-03-04,79,9,70,1,4,1,NA,NA,3
"127","Malaysia","Non-sentinel","2024-11",2024-03-11,60,4,56,0,2,0,NA,NA,2
"128","Malaysia","Non-sentinel","2024-12",2024-03-18,76,8,68,1,6,1,NA,NA,0
"129","Malaysia","Non-sentinel","2024-13",2024-03-25,66,6,60,2,2,0,NA,NA,2
"130","Malaysia","Non-sentinel","2024-14",2024-04-01,70,7,63,1,3,1,NA,NA,2
"131","Malaysia","Non-sentinel","2024-15",2024-04-08,46,1,45,0,1,0,NA,NA,0
"132","Malaysia","Non-sentinel","2024-16",2024-04-15,71,7,64,2,2,0,NA,NA,3
"133","Malaysia","Non-sentinel","2024-17",2024-04-22,74,11,63,6,3,1,NA,NA,1
"134","Malaysia","Non-sentinel","2024-18",2024-04-29,97,10,87,4,4,0,NA,NA,2
"135","Malaysia","Non-sentinel","2024-19",2024-05-06,101,15,86,4,7,0,NA,NA,4
"136","Malaysia","Non-sentinel","2024-20",2024-05-13,108,17,91,6,7,1,NA,NA,3
"137","Malaysia","Non-sentinel","2024-21",2024-05-20,112,14,98,4,8,0,NA,NA,2
"138","Malaysia","Non-sentinel","2024-22",2024-05-27,65,7,58,2,4,0,NA,NA,1
"139","Malaysia","Non-sentinel","2024-23",2024-06-03,80,12,68,5,7,0,NA,NA,0
"140","Malaysia","Non-sentinel","2024-24",2024-06-10,75,12,63,7,2,0,NA,NA,3
"141","Malaysia","Non-sentinel","2024-25",2024-06-17,85,19,66,6,11,0,NA,NA,2
"142","Malaysia","Non-sentinel","2024-26",2024-06-24,109,17,92,4,6,0,NA,NA,7
